GEOID10,nit_long,NAMELSAD_1,cancer_num,CID_sum,ID
55025000503,9,Dane County,0,0,468
55025000504,10,Dane County,0,0,661
55025000600,10,Dane County,1,38,675
55025000700,10,Dane County,0,0,659
55025000800,10,Dane County,1,38,657
55025000901,10,Dane County,0,0,549
55025000902,10,Dane County,2,76,576
55025001000,10,Dane County,0,0,658
55025001101,6,Dane County,0,0,548
55025001102,10,Dane County,0,0,575
55025001200,10,Dane County,0,0,656
55025001300,10,Dane County,0,0,655
55025001401,5,Dane County,0,0,643
55025001402,10,Dane County,1,38,592
55025001403,11,Dane County,5,190,673
55025001501,10,Dane County,1,38,642
55025001502,10,Dane County,1,38,506
55025001603,10,Dane County,0,0,547
55025001604,10,Dane County,0,0,574
55025001605,10,Dane County,0,0,546
55025001606,10,Dane County,0,0,573
55025001704,10,Dane County,0,0,537
55025001705,11,Dane County,0,0,571
55025001802,10,Dane County,0,0,531
55025001804,10,Dane County,0,0,556
55025001900,6,Dane County,0,0,641
55025002000,10,Dane County,0,0,505
55025002100,10,Dane County,1,38,489
55025002200,10,Dane County,0,0,640
55025002301,10,Dane County,0,0,639
55025002302,10,Dane County,1,38,638
55025002401,10,Dane County,0,0,637
55025002402,10,Dane County,1,38,477
55025002500,10,Dane County,4,152,488
55025002601,10,Dane County,0,0,636
55025002602,10,Dane County,1,38,591
55025002603,10,Dane County,0,0,593
55025002700,10,Dane County,1,38,504
55025002800,10,Dane County,1,38,503
55025002900,4,Dane County,0,0,502
55025003001,10,Dane County,1,38,635
55025003002,10,Dane County,2,76,501
55025003100,10,Dane County,0,0,497
55025003200,10,Dane County,0,0,634
55025010100,10,Dane County,0,0,633
55025010200,10,Dane County,1,38,632
55025010300,12,Dane County,1,38,622
55025010400,10,Dane County,2,76,628
55025010501,10,Dane County,3,114,536
55025010502,10,Dane County,4,152,572
55025010600,10,Dane County,20,760,496
55025010701,10,Dane County,0,0,674
55025010702,10,Dane County,25,950,662
55025010800,10,Dane County,3,114,627
55025010901,10,Dane County,3,114,493
55025010903,10,Dane County,5,190,535
55025010904,10,Dane County,25,950,553
55025011000,10,Dane County,0,0,626
55025011101,10,Dane County,0,0,624
55025011102,10,Dane County,1,38,623
55025011200,10,Dane County,20,760,476
55025011301,10,Dane County,7,266,595
55025011302,10,Dane County,1,38,594
55025011401,10,Dane County,6,228,534
55025011402,10,Dane County,13,494,555
55025011503,10,Dane County,4,152,487
55025011504,10,Dane County,3,114,596
55025011505,10,Dane County,0,0,621
55025011506,10,Dane County,3,114,474
55025011600,10,Dane County,5,190,492
55025011700,10,Dane County,26,988,491
55025011800,10,Dane County,56,2128,625
55025011900,8,Dane County,54,2052,473
55025012001,10,Dane County,8,304,472
55025012002,10,Dane County,39,1482,475
55025012100,10,Dane County,31,1178,511
55025012201,10,Dane County,2,76,470
55025012202,10,Dane County,0,0,597
55025012300,10,Dane County,10,380,469
55025012400,12,Dane County,28,1064,490
55025012501,10,Dane County,5,190,533
55025012502,10,Dane County,11,418,554
55025012600,10,Dane County,56,2128,510
55025012700,9,Dane County,57,2166,495
55025012800,10,Dane County,15,570,494
55025012900,10,Dane County,56,2128,509
55025013000,10,Dane County,10,380,508
55025013100,10,Dane County,37,1406,507
55025013200,10,Dane County,74,2812,471
55025013301,10,Dane County,3,114,551
55025013302,10,Dane County,2,76,552
55025013700,10,Dane County,4,152,532
55025991702,10,Dane County,10,380,590
55025991703,10,Dane County,1,38,579
55027960100,3,Dodge County,18,1260,1282
55027960200,3,Dodge County,28,1960,1284
55027960300,3,Dodge County,2,140,1281
55027960400,3,Dodge County,21,1470,1300
55027960500,2,Dodge County,8,560,1277
55027960600,2,Dodge County,24,1680,1289
55027960700,3,Dodge County,1,70,1288
55027960800,3,Dodge County,1,70,1287
55027960900,3,Dodge County,1,70,1286
55027961000,3,Dodge County,0,0,1285
55027961100,3,Dodge County,12,840,1280
55027961200,3,Dodge County,4,280,1275
55027961300,3,Dodge County,1,70,1274
55027961400,3,Dodge County,21,1470,1276
55027961500,3,Dodge County,12,840,1302
55027961600,3,Dodge County,27,1890,1301
55027961700,3,Dodge County,22,1540,1279
55027961800,3,Dodge County,38,2660,1283
55027961900,3,Dodge County,0,0,1278
55027962000,3,Dodge County,0,0,1273
55029100100,3,Door County,9,432,806
55029100300,3,Door County,7,336,813
55029100400,3,Door County,10,480,807
55029100500,3,Door County,6,288,809
55029100600,3,Door County,6,288,812
55029100700,3,Door County,0,0,814
55029100800,3,Door County,1,48,808
55029100900,4,Door County,3,144,811
55029101000,3,Door County,6,288,810
55031020300,0,Douglas County,0,0,22
55031020400,1,Douglas County,0,0,15
55031020500,0,Douglas County,0,0,14
55031020600,0,Douglas County,0,0,13
55031020700,0,Douglas County,4,28,24
55031020800,0,Douglas County,2,14,23
55031020900,0,Douglas County,0,0,12
55031021000,0,Douglas County,1,7,28
55031021100,0,Douglas County,0,0,10
55031030100,0,Douglas County,16,112,27
55031030200,0,Douglas County,11,77,25
55031030300,1,Douglas County,54,378,26
55031990000,0,Douglas County,7,49,11
55033970100,4,Dunn County,26,676,197
55033970200,4,Dunn County,14,364,459
55033970300,4,Dunn County,13,338,460
55033970400,4,Dunn County,17,442,458
55033970500,8,Dunn County,2,52,457
55033970600,4,Dunn County,15,390,198
55033970700,5,Dunn County,1,26,196
55033970800,4,Dunn County,1,26,195
55035000100,6,Eau Claire County,76,2280,244
55035000200,6,Eau Claire County,54,1620,229
55035000301,4,Eau Claire County,8,240,228
55035000302,6,Eau Claire County,22,660,232
55035000400,8,Eau Claire County,6,180,215
55035000501,6,Eau Claire County,0,0,245
55035000502,6,Eau Claire County,0,0,246
55035000600,6,Eau Claire County,2,60,214
55035000700,6,Eau Claire County,0,0,212
55035000801,6,Eau Claire County,0,0,210
55035000802,6,Eau Claire County,1,30,225
55035000803,6,Eau Claire County,3,90,226
55035000900,6,Eau Claire County,1,30,231
55035001101,6,Eau Claire County,0,0,211
55035001200,6,Eau Claire County,2,60,213
55035001300,3,Eau Claire County,5,150,230
55035001400,6,Eau Claire County,0,0,224
55035001500,6,Eau Claire County,14,420,233
55035001600,6,Eau Claire County,42,1260,227
55035001700,6,Eau Claire County,0,0,209
55037190100,5,Florence County,3,48,0
55037190200,5,Florence County,11,176,1
55039040100,2,Fond du Lac County,0,0,450
55039040200,2,Fond du Lac County,0,0,449
55039040300,2,Fond du Lac County,0,0,448
55039040400,2,Fond du Lac County,0,0,447
55039040500,0,Fond du Lac County,2,58,446
55039040700,2,Fond du Lac County,4,116,445
55039040800,2,Fond du Lac County,0,0,444
55039040900,2,Fond du Lac County,0,0,436
55039041000,2,Fond du Lac County,0,0,435
55039041100,2,Fond du Lac County,5,145,434
55039041300,2,Fond du Lac County,4,116,433
55039041400,5,Fond du Lac County,54,1566,452
55039041500,2,Fond du Lac County,5,145,432
55039041600,2,Fond du Lac County,7,203,431
55039041700,2,Fond du Lac County,45,1305,456
55039041800,1,Fond du Lac County,11,319,430
55039041900,2,Fond du Lac County,45,1305,454
55039042000,2,Fond du Lac County,27,783,451
55039042100,2,Fond du Lac County,50,1450,453
55039042200,2,Fond du Lac County,33,957,455
55041950100,1,Forest County,20,1380,1116
55041950200,1,Forest County,13,897,1114
55041950300,1,Forest County,2,138,1115
55041950400,1,Forest County,2,138,1113
55043960100,8,Grant County,14,826,1384
55043960200,8,Grant County,6,354,1386
55043960300,8,Grant County,10,590,1385
55043960400,8,Grant County,36,2124,1389
55043960500,8,Grant County,19,1121,1388
55043960600,8,Grant County,21,1239,1387
55043960700,8,Grant County,0,0,1380
55043960800,9,Grant County,12,708,1382
55043960900,6,Grant County,2,118,1391
55043961000,8,Grant County,0,0,1390
55043961100,8,Grant County,10,590,1383
55043961200,8,Grant County,2,118,1381
55045960100,10,Green County,57,2622,939
55045960200,10,Green County,67,3082,941
55045960300,10,Green County,63,2898,938
55045960400,10,Green County,3,138,934
55045960500,10,Green County,1,46,936
55045960600,10,Green County,1,46,935
55045960700,9,Green County,95,4370,940
55045960800,10,Green County,10,460,937
55047100100,3,Green Lake County,8,32,46
55047100200,3,Green Lake County,1,4,45
55047100300,2,Green Lake County,49,196,42
55047100400,3,Green Lake County,28,112,41
55047100500,3,Green Lake County,28,112,40
55047100600,3,Green Lake County,44,176,39
55049950100,9,Iowa County,58,174,21
55049950200,9,Iowa County,61,183,20
55049950300,4,Iowa County,52,156,18
55049950400,9,Iowa County,13,39,17
55049950500,9,Iowa County,63,189,19
55049950600,9,Iowa County,15,45,16
55051180100,1,Iron County,0,0,54
55051180200,1,Iron County,12,12,56
55051180300,1,Iron County,11,11,52
55051990000,1,Iron County,5,5,57
55053960100,5,Jackson County,47,2068,774
55053960200,6,Jackson County,12,528,775
55053960300,5,Jackson County,16,704,777
55053960400,5,Jackson County,35,1540,778
55053960500,5,Jackson County,0,0,776
55055100100,4,Jefferson County,2,10,64
55055100200,4,Jefferson County,0,0,63
55055100300,3,Jefferson County,5,25,62
55055100400,4,Jefferson County,39,195,65
55055100500,4,Jefferson County,4,20,85
55055100601,4,Jefferson County,14,70,80
55055100602,5,Jefferson County,27,135,83
55055100700,4,Jefferson County,22,110,82
55055100800,4,Jefferson County,35,175,78
55055100900,4,Jefferson County,47,235,76
55055101000,4,Jefferson County,1,5,81
55055101100,4,Jefferson County,3,15,71
55055101201,4,Jefferson County,27,135,84
55055101202,5,Jefferson County,7,35,72
55055101300,4,Jefferson County,1,5,75
55055101400,4,Jefferson County,1,5,74
55055101500,4,Jefferson County,2,10,73
55055101600,4,Jefferson County,33,165,79
55055101701,4,Jefferson County,18,90,77
55055101702,4,Jefferson County,26,130,61
55057100100,4,Juneau County,38,380,70
55057100200,4,Juneau County,11,110,67
55057100300,4,Juneau County,9,90,58
55057100400,4,Juneau County,4,40,68
55057100500,4,Juneau County,1,10,59
55057100600,4,Juneau County,8,80,60
55057100700,4,Juneau County,13,130,69
55059000100,5,Kenosha County,2,28,180
55059000300,5,Kenosha County,1,14,179
55059000400,5,Kenosha County,0,0,164
55059000500,5,Kenosha County,0,0,163
55059000601,5,Kenosha County,11,154,189
55059000602,5,Kenosha County,1,14,188
55059000700,5,Kenosha County,1,14,162
55059000800,4,Kenosha County,0,0,38
55059000900,5,Kenosha County,0,0,37
55059001000,5,Kenosha County,2,28,178
55059001100,5,Kenosha County,0,0,36
55059001200,5,Kenosha County,0,0,35
55059001300,5,Kenosha County,0,0,34
55059001400,5,Kenosha County,0,0,194
55059001500,5,Kenosha County,1,14,193
55059001600,7,Kenosha County,0,0,192
55059001700,5,Kenosha County,0,0,33
55059001800,5,Kenosha County,0,0,32
55059001900,5,Kenosha County,0,0,177
55059002000,5,Kenosha County,3,42,167
55059002100,5,Kenosha County,0,0,31
55059002200,5,Kenosha County,0,0,30
55059002300,5,Kenosha County,1,14,29
55059002400,5,Kenosha County,1,14,191
55059002500,5,Kenosha County,0,0,190
55059002601,5,Kenosha County,2,28,187
55059002602,5,Kenosha County,11,154,186
55059002700,5,Kenosha County,18,252,165
55059002800,5,Kenosha County,39,546,166
55059002903,5,Kenosha County,7,98,183
55059002904,6,Kenosha County,7,98,184
55059002905,5,Kenosha County,3,42,185
55059002906,5,Kenosha County,5,70,161
55059003001,5,Kenosha County,6,84,181
55059003002,5,Kenosha County,7,98,182
55061960100,4,Kewaunee County,0,0,66
55061960200,4,Kewaunee County,14,126,55
55061960400,4,Kewaunee County,24,216,53
55061960500,4,Kewaunee County,14,126,51
55063000100,5,La Crosse County,2,22,95
55063000200,5,La Crosse County,2,22,120
55063000300,4,La Crosse County,2,22,126
55063000400,5,La Crosse County,2,22,97
55063000500,5,La Crosse County,0,0,93
55063000600,5,La Crosse County,0,0,94
55063000700,6,La Crosse County,1,11,122
55063000800,5,La Crosse County,1,11,92
55063000900,5,La Crosse County,3,33,121
55063001000,5,La Crosse County,0,0,87
55063001101,5,La Crosse County,0,0,91
55063001102,5,La Crosse County,1,11,118
55063001200,5,La Crosse County,0,0,86
55063010101,5,La Crosse County,81,891,125
55063010102,5,La Crosse County,2,22,128
55063010201,5,La Crosse County,41,451,127
55063010202,5,La Crosse County,30,330,129
55063010203,5,La Crosse County,6,66,98
55063010300,5,La Crosse County,3,33,99
55063010401,5,La Crosse County,10,110,123
55063010402,5,La Crosse County,2,22,101
55063010500,5,La Crosse County,1,11,119
55063010600,5,La Crosse County,12,132,96
55063010700,5,La Crosse County,25,275,124
55063010800,4,La Crosse County,73,803,100
55065970100,8,Lafayette County,25,1525,1379
55065970200,8,Lafayette County,21,1281,1377
55065970300,8,Lafayette County,35,2135,1376
55065970400,8,Lafayette County,15,915,1375
55065970500,7,Lafayette County,45,2745,1378
55067960100,4,Langlade County,22,616,441
55067960300,4,Langlade County,11,308,442
55067960400,4,Langlade County,7,196,439
55067960500,4,Langlade County,29,812,440
55067960600,4,Langlade County,0,0,438
55067960700,4,Langlade County,0,0,437
55069960100,1,Lincoln County,13,923,1231
55069960200,1,Lincoln County,1,71,1230
55069960300,1,Lincoln County,8,568,1229
55069960400,1,Lincoln County,42,2982,1228
55069960500,1,Lincoln County,8,568,1233
55069960600,1,Lincoln County,16,1136,1227
55069960700,2,Lincoln County,14,994,1232
55069960800,0,Lincoln County,0,0,1226
55069960900,1,Lincoln County,0,0,1225
55069961000,1,Lincoln County,0,0,1207
55071000100,7,Manitowoc County,1,64,1176
55071000200,9,Manitowoc County,0,0,1150
55071000300,7,Manitowoc County,0,0,1149
55071000400,3,Manitowoc County,1,64,1175
55071000500,7,Manitowoc County,0,0,1148
55071000600,7,Manitowoc County,1,64,1147
55071000700,7,Manitowoc County,0,0,1174
55071000800,7,Manitowoc County,2,128,1159
55071005100,7,Manitowoc County,1,64,1158
55071005200,7,Manitowoc County,1,64,1131
55071005300,7,Manitowoc County,0,0,1130
55071005400,8,Manitowoc County,0,0,1157
55071010100,7,Manitowoc County,14,896,1156
55071010200,7,Manitowoc County,17,1088,1152
55071010300,7,Manitowoc County,18,1152,1155
55071010400,7,Manitowoc County,18,1152,1154
55071010500,7,Manitowoc County,6,384,1146
55071010600,7,Manitowoc County,15,960,1153
55071010700,7,Manitowoc County,0,0,1151
55073000100,8,Marathon County,0,0,1142
55073000200,8,Marathon County,0,0,1141
55073000300,8,Marathon County,0,0,1140
55073000400,6,Marathon County,1,67,1196
55073000500,8,Marathon County,0,0,1139
55073000601,8,Marathon County,0,0,1194
55073000602,8,Marathon County,1,67,1193
55073000700,8,Marathon County,0,0,1138
55073000800,8,Marathon County,1,67,1163
55073000900,8,Marathon County,0,0,1162
55073001000,8,Marathon County,0,0,1167
55073001102,9,Marathon County,17,1139,1164
55073001103,8,Marathon County,0,0,1161
55073001104,8,Marathon County,1,67,1160
55073001201,8,Marathon County,15,1005,1197
55073001202,8,Marathon County,9,603,1195
55073001300,8,Marathon County,5,335,1166
55073001400,8,Marathon County,5,335,1165
55073001500,8,Marathon County,21,1407,1200
55073001600,8,Marathon County,68,4556,1202
55073001700,8,Marathon County,45,3015,1203
55073001800,5,Marathon County,52,3484,1204
55073001900,8,Marathon County,29,1943,1199
55073002000,8,Marathon County,16,1072,1198
55073002100,8,Marathon County,26,1742,1201
55073002200,8,Marathon County,20,1340,1206
55073002300,8,Marathon County,47,3149,1205
55075960100,3,Marinette County,8,280,606
55075960200,3,Marinette County,51,1785,630
55075960600,0,Marinette County,14,490,631
55075960700,3,Marinette County,20,700,629
55075960800,2,Marinette County,6,210,605
55075960900,3,Marinette County,19,665,604
55075961000,3,Marinette County,20,700,607
55075961100,3,Marinette County,6,210,603
55075961200,3,Marinette County,0,0,601
55075961300,3,Marinette County,0,0,600
55075961400,3,Marinette County,0,0,599
55075961500,3,Marinette County,1,35,602
55075990000,3,Marinette County,5,175,598
55077960100,4,Marquette County,15,840,1180
55077960200,4,Marquette County,13,728,1179
55077960300,4,Marquette County,7,392,1181
55077960400,4,Marquette County,10,560,1178
55077960500,4,Marquette County,9,504,1177
55078940101,0,Menominee County,1,37,580
55078940102,0,Menominee County,9,333,581
55079000101,2,Milwaukee County,1,51,753
55079000102,2,Milwaukee County,2,102,733
55079000201,2,Milwaukee County,2,102,1059
55079000202,2,Milwaukee County,3,153,968
55079000301,2,Milwaukee County,0,0,832
55079000302,2,Milwaukee County,1,51,793
55079000303,2,Milwaukee County,0,0,792
55079000304,2,Milwaukee County,1,51,833
55079000400,2,Milwaukee County,1,51,840
55079000501,2,Milwaukee County,4,204,865
55079000502,2,Milwaukee County,0,0,803
55079000600,0,Milwaukee County,3,153,761
55079000700,2,Milwaukee County,1,51,1061
55079000800,2,Milwaukee County,0,0,1062
55079000900,2,Milwaukee County,4,204,791
55079001000,4,Milwaukee County,1,51,766
55079001100,2,Milwaukee County,1,51,795
55079001200,2,Milwaukee County,0,0,1058
55079001300,2,Milwaukee County,0,0,764
55079001400,1,Milwaukee County,0,0,802
55079001500,2,Milwaukee County,1,51,788
55079001600,2,Milwaukee County,1,51,835
55079001700,2,Milwaukee County,0,0,801
55079001800,2,Milwaukee County,0,0,790
55079001900,2,Milwaukee County,0,0,763
55079002000,2,Milwaukee County,0,0,794
55079002100,2,Milwaukee County,0,0,1057
55079002200,2,Milwaukee County,0,0,1026
55079002300,2,Milwaukee County,2,102,1025
55079002400,2,Milwaukee County,0,0,770
55079002500,2,Milwaukee County,1,51,765
55079002600,2,Milwaukee County,0,0,1037
55079002700,2,Milwaukee County,1,51,1036
55079002800,2,Milwaukee County,0,0,800
55079002900,2,Milwaukee County,0,0,722
55079003000,2,Milwaukee County,0,0,1060
55079003100,2,Milwaukee County,0,0,745
55079003200,2,Milwaukee County,1,51,686
55079003300,2,Milwaukee County,2,102,760
55079003400,2,Milwaukee County,2,102,1084
55079003500,2,Milwaukee County,0,0,759
55079003600,2,Milwaukee County,0,0,746
55079003700,2,Milwaukee County,0,0,694
55079003800,2,Milwaukee County,1,51,696
55079003900,2,Milwaukee County,0,0,980
55079004000,2,Milwaukee County,0,0,829
55079004100,2,Milwaukee County,2,102,888
55079004200,2,Milwaukee County,0,0,1086
55079004300,2,Milwaukee County,0,0,796
55079004400,2,Milwaukee County,0,0,1002
55079004500,2,Milwaukee County,0,0,910
55079004600,2,Milwaukee County,0,0,1082
55079004700,2,Milwaukee County,0,0,981
55079004800,2,Milwaukee County,1,51,693
55079004900,4,Milwaukee County,1,51,692
55079005000,2,Milwaukee County,0,0,834
55079005100,2,Milwaukee County,1,51,830
55079005200,2,Milwaukee County,0,0,712
55079005300,2,Milwaukee County,0,0,1034
55079005400,2,Milwaukee County,1,51,689
55079005500,2,Milwaukee County,0,0,714
55079005600,2,Milwaukee County,3,153,740
55079005700,2,Milwaukee County,0,0,744
55079005800,2,Milwaukee County,0,0,762
55079005900,2,Milwaukee County,0,0,741
55079006000,2,Milwaukee County,0,0,893
55079006100,2,Milwaukee County,0,0,1052
55079006200,2,Milwaukee County,0,0,943
55079006300,2,Milwaukee County,0,0,690
55079006400,2,Milwaukee County,0,0,985
55079006500,2,Milwaukee County,0,0,867
55079006600,2,Milwaukee County,0,0,1077
55079006700,2,Milwaukee County,0,0,977
55079006800,2,Milwaukee County,1,51,869
55079006900,2,Milwaukee County,0,0,784
55079007000,2,Milwaukee County,3,153,973
55079007100,2,Milwaukee County,1,51,951
55079007200,2,Milwaukee County,0,0,952
55079007300,2,Milwaukee County,0,0,1028
55079007400,2,Milwaukee County,1,51,1027
55079007500,2,Milwaukee County,0,0,996
55079007600,2,Milwaukee County,0,0,945
55079007700,2,Milwaukee County,0,0,700
55079007800,2,Milwaukee County,1,51,889
55079007900,2,Milwaukee County,0,0,971
55079008000,2,Milwaukee County,0,0,970
55079008100,2,Milwaukee County,0,0,822
55079008400,2,Milwaukee County,0,0,912
55079008500,2,Milwaukee County,0,0,997
55079008600,2,Milwaukee County,0,0,976
55079008700,2,Milwaukee County,0,0,975
55079008800,2,Milwaukee County,0,0,984
55079008900,2,Milwaukee County,0,0,691
55079009000,2,Milwaukee County,0,0,988
55079009100,2,Milwaukee County,0,0,990
55079009200,2,Milwaukee County,0,0,897
55079009300,2,Milwaukee County,0,0,992
55079009400,2,Milwaukee County,0,0,1004
55079009500,2,Milwaukee County,0,0,991
55079009600,2,Milwaukee County,3,153,898
55079009700,2,Milwaukee County,0,0,987
55079009800,2,Milwaukee County,1,51,1056
55079009900,2,Milwaukee County,0,0,986
55079010600,2,Milwaukee County,0,0,969
55079010700,2,Milwaukee County,0,0,890
55079010800,2,Milwaukee County,0,0,1042
55079011000,2,Milwaukee County,0,0,947
55079011100,2,Milwaukee County,0,0,839
55079011200,2,Milwaukee County,1,51,914
55079011300,2,Milwaukee County,0,0,706
55079011400,2,Milwaukee County,0,0,946
55079012200,2,Milwaukee County,0,0,908
55079012300,2,Milwaukee County,0,0,895
55079012400,3,Milwaukee County,1,51,993
55079012500,3,Milwaukee County,0,0,1053
55079012600,2,Milwaukee County,1,51,1024
55079012700,2,Milwaukee County,1,51,979
55079012800,4,Milwaukee County,2,102,1083
55079012900,2,Milwaukee County,0,0,1031
55079013000,2,Milwaukee County,0,0,743
55079013300,2,Milwaukee County,0,0,723
55079013400,2,Milwaukee County,0,0,894
55079013500,2,Milwaukee County,0,0,1078
55079013600,2,Milwaukee County,0,0,716
55079013700,2,Milwaukee County,1,51,994
55079014100,2,Milwaukee County,0,0,891
55079014300,2,Milwaukee County,0,0,871
55079014400,2,Milwaukee County,0,0,998
55079014600,2,Milwaukee County,0,0,719
55079014700,2,Milwaukee County,0,0,828
55079014800,4,Milwaukee County,1,51,713
55079014900,0,Milwaukee County,1,51,1080
55079015700,2,Milwaukee County,0,0,999
55079015800,2,Milwaukee County,0,0,902
55079015900,6,Milwaukee County,0,0,900
55079016000,2,Milwaukee County,0,0,717
